Scheme_Code,Scheme_Name,Scheme_Category,Scheme_NAV_Name,NAV,Latest_NAV_Date,Internal_Category
103490,Quantum Value Fund,Equity Scheme - Value Fund,Quantum Value Fund - Direct Plan Growth Option,123.81,7/1/26,mid_risk_equity
103734,Quantum Liquid Fund,Debt Scheme - Liquid Fund,Quantum Liquid Fund - Direct Plan Growth Option,37.298,7/1/26,cash_equivalent
118285,Canara Robeco ELSS Tax Saver,Equity Scheme - ELSS,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,200.61,7/1/26,mid_risk_equity
118299,Canara Robeco Gilt Fund,Debt Scheme - Gilt Fund,CANARA ROBECO GILT FUND - DIRECT PLAN - GROWTH OPTION,83.1927,7/1/26,good_debt
118309,Canara Robeco Conservative Hybrid Fund,Hybrid Scheme - Conservative Hybrid Fund,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - GROWTH OPTION,114.9528,7/1/26,conservative_hybrid
118317,Canara Robeco Ultra Short Term Fund,Debt Scheme - Ultra Short Duration Fund,CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - GROWTH OPTION,4307.161,7/1/26,cash_equivalent
118364,BANDHAN LIQUID Fund,Debt Scheme - Liquid Fund,BANDHAN LIQUID Fund -Direct Plan-Growth,3388.919,7/1/26,cash_equivalent
118371,BANDHAN LOW DURATION FUND,Debt Scheme - Low Duration Fund,BANDHAN Low Duration Fund-Direct Plan-Growth,42.0943,7/1/26,good_debt
118384,Bandhan Money  Market Fund,Debt Scheme - Money Market Fund,Bandhan Money Market Fund -Direct Plan-Growth,46.6463,7/1/26,cash_equivalent
118387,Bandhan Gilt Fund   with 10 year constant duration Fund,Debt Scheme - Gilt Fund with 10 year constant duration,Bandhan Gilt Fund with 10 year constant duration Fund - Direct Plan - Growth,49.2315,7/1/26,good_debt
118394,Bandhan Medium to Long Duration Fund,Debt Scheme - Medium to Long Duration Fund,Bandhan Medium to Long Duration Fund - Direct Plan - Growth,75.1328,7/1/26,good_debt
118401,Bandhan Medium Duration Fund,Debt Scheme - Medium Duration Fund,Bandhan Medium Duration Fund - Direct Plan - Growth,53.0768,7/1/26,good_debt
118407,Bandhan Short Duration Fund,Debt Scheme - Short Duration Fund,Bandhan Short Duration Fund - Direct Plan - Growth,65.3934,7/1/26,good_debt
118410,Bandhan Income Plus Arbitrage Active FOF,Other Scheme - FoF Domestic,Bandhan Income Plus Arbitrage Active FOF - Direct Plan - Growth,48.9307,7/1/26,good_debt
118416,BANDHAN Dynamic Bond Fund,Debt Scheme - Dynamic Bond,BANDHAN Dynamic Bond Fund-Direct Plan-Growth,40.4221,7/1/26,good_debt
118419,Bandhan Large & Mid Cap Fund,Equity Scheme - Large & Mid Cap Fund,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,164.364,7/1/26,mid_risk_equity
118421,Bandhan Focused Fund,Equity Scheme - Focused Fund,Bandhan Focused Fund - Direct Plan - Growth,105.193,7/1/26,mid_risk_equity
118424,BANDHAN Flexi Cap Fund,Equity Scheme - Flexi Cap Fund,BANDHAN Flexi Cap Fund-Direct Plan-Growth,229.559,7/1/26,mid_risk_equity
118464,Bandhan Gilt   Fund,Debt Scheme - Gilt Fund,Bandhan Gilt Fund - Direct Plan - Growth,41.1898,7/1/26,good_debt
118469,BANDHAN Infrastructure Fund,Equity Scheme - Sectoral/ Thematic,BANDHAN Infrastructure Fund-Direct Plan-Growth,59.695,7/1/26,high_risk_equity
