Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Latest_NAV_Date,Average_AUM_Cr,AAUM_Quarter,ISIN_Div_Payout/Growth,ISIN_Div_Reinvestment,ISIN_Div_Payout/Growth/Div_Reinvestment,Launch_Date,Closure_Date
103490,Quantum Value Fund,Quantum Asset Management Company Private Limited,Open Ended,Equity Scheme - Value Fund,Quantum Value Fund - Direct Plan Growth Option,Rs. 5000,123.81,2026-07-01,1009.5426,April - June 2026,INF082J01036,-,INF082J01036,2006-02-08,
103734,Quantum Liquid Fund,Quantum Asset Management Company Private Limited,Open Ended,Debt Scheme - Liquid Fund,Quantum Liquid Fund - Direct Plan Growth Option,10000,37.298,2026-07-01,490.6617,April - June 2026,INF082J01127,-,INF082J01127,2006-04-03,
118285,Canara Robeco ELSS Tax Saver,Canara Robeco Asset Management Company Limited,Open Ended,Equity Scheme - ELSS,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,Rs.500,200.61,2026-07-01,2370.696,April - June 2026,INF760K01EL8,-,INF760K01EL8,1993-02-25,
118299,Canara Robeco Gilt Fund,Canara Robeco Asset Management Company Limited,Open Ended,Debt Scheme - Gilt Fund,CANARA ROBECO GILT FUND - DIRECT PLAN - GROWTH OPTION,Rs.10000,83.1927,2026-07-01,66.7496,April - June 2026,INF760K01FC4,-,INF760K01FC4,1999-12-22,
118309,Canara Robeco Conservative Hybrid Fund,Canara Robeco Asset Management Company Limited,Open Ended,Hybrid Scheme - Conservative Hybrid Fund,CANARA ROBECO CONSERVATIVE HYBRID FUND - DIRECT PLAN - GROWTH OPTION,5000,114.9528,2026-07-01,278.1822,April - June 2026,INF760K01GB4,-,INF760K01GB4,1988-04-24,
118317,Canara Robeco Ultra Short Term Fund,Canara Robeco Asset Management Company Limited,Open Ended,Debt Scheme - Ultra Short Duration Fund,CANARA ROBECO ULTRA SHORT TERM FUND - DIRECT PLAN - GROWTH OPTION,Rs. 5000.00 and in multiples,4307.161,2026-07-01,160.66639999999998,April - June 2026,INF760K01GM1,-,INF760K01GM1,2003-08-29,2003-08-29
118364,BANDHAN LIQUID Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Liquid Fund,BANDHAN LIQUID Fund -Direct Plan-Growth,Rs.100,3388.919,2026-07-01,16727.2958,April - June 2026,INF194K01I60,-,INF194K01I60,1900-01-01,1900-01-01
118371,BANDHAN LOW DURATION FUND,Bandhan AMC Limited,Open Ended,Debt Scheme - Low Duration Fund,BANDHAN Low Duration Fund-Direct Plan-Growth,Minimum of Rs 100,42.0943,2026-07-01,4503.2236,April - June 2026,INF194K01J77,-,INF194K01J77,2006-01-12,
118384,Bandhan Money  Market Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Money Market Fund,Bandhan Money Market Fund -Direct Plan-Growth,Rs. 100/-,46.6463,2026-07-01,13915.5152,April - June 2026,INF194K01M80,-,INF194K01M80,2001-01-01,2001-01-01
118387,Bandhan Gilt Fund   with 10 year constant duration Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Gilt Fund with 10 year constant duration,Bandhan Gilt Fund with 10 year constant duration Fund - Direct Plan - Growth,Rs.10000,49.2315,2026-07-01,213.1381,April - June 2026,INF194K01P38,-,INF194K01P38,2002-02-21,
118394,Bandhan Medium to Long Duration Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Bandhan Medium to Long Duration Fund - Direct Plan - Growth,Rs. 500/-,75.1328,2026-07-01,54.6753,April - June 2026,INF194K01R51,-,INF194K01R51,2005-01-01,
118401,Bandhan Medium Duration Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Medium Duration Fund,Bandhan Medium Duration Fund - Direct Plan - Growth,10,53.0768,2026-07-01,307.9237,April - June 2026,INF194K01S50,-,INF194K01S50,2001-04-01,
118407,Bandhan Short Duration Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Short Duration Fund,Bandhan Short Duration Fund - Direct Plan - Growth,500,65.3934,2026-07-01,5470.906899999999,April - June 2026,INF194K01U07,-,INF194K01U07,2001-04-01,
118410,Bandhan Income Plus Arbitrage Active FOF,Bandhan AMC Limited,Open Ended,Other Scheme - FoF Domestic,Bandhan Income Plus Arbitrage Active FOF - Direct Plan - Growth,Rs. 1000/- and any amount thereafter,48.9307,2026-07-01,1181.9297,April - June 2026,INF194K01U72,-,INF194K01U72,2004-08-09,
118416,BANDHAN Dynamic Bond Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Dynamic Bond,BANDHAN Dynamic Bond Fund-Direct Plan-Growth,Rs.5000/-,40.4221,2026-07-01,711.5045,April - June 2026,INF194K01N63,-,INF194K01N63,2002-06-25,
118419,Bandhan Large & Mid Cap Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Bandhan Large & Mid Cap Fund - Direct Plan - Growth,Rs. 5000,164.364,2026-07-01,3944.2939,April - June 2026,INF194K01V89,-,INF194K01V89,2005-06-27,
118421,Bandhan Focused Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - Focused Fund,Bandhan Focused Fund - Direct Plan - Growth,Rs.5000/-,105.193,2026-07-01,279.5047,April - June 2026,INF194K01W21,-,INF194K01W21,2006-01-30,
118424,BANDHAN Flexi Cap Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - Flexi Cap Fund,BANDHAN Flexi Cap Fund-Direct Plan-Growth,Rs. 10000/-,229.559,2026-07-01,754.2103999999999,April - June 2026,INF194K01W62,-,INF194K01W62,2005-09-05,
118464,Bandhan Gilt   Fund,Bandhan AMC Limited,Open Ended,Debt Scheme - Gilt Fund,Bandhan Gilt Fund - Direct Plan - Growth,Rs.10000,41.1898,2026-07-01,1150.8077,April - June 2026,INF194K01Q29,-,INF194K01Q29,2002-02-21,
118469,BANDHAN Infrastructure Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,BANDHAN Infrastructure Fund-Direct Plan-Growth,Rs. 1000/- per application,59.695,2026-07-01,304.3003,April - June 2026,INF194K01X46,-,INF194K01X46,2011-02-07,
118473,BANDHAN ELSS Tax Saver Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - ELSS,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,Rs. 500/- and in multiples of Rs.500/- thereafter.,178.437,2026-07-01,1869.8961,April - June 2026,INF194K01Y29,-,INF194K01Y29,2008-12-01,
118474,BANDHAN Arbitrage Fund,Bandhan AMC Limited,Open Ended,Hybrid Scheme - Arbitrage Fund,BANDHAN Arbitrage Fund-Direct Plan- Growth,Rs. 100/- and any amount thereafter,37.3765,2026-07-01,5067.4585,April - June 2026,INF194K01Y60,-,INF194K01Y60,2006-11-14,
118477,BANDHAN EQUITY SAVINGS FUND,Bandhan AMC Limited,Open Ended,Hybrid Scheme - Equity Savings,BANDHAN Equity Savings Fund-Direct Plan-Growth,A Rs.10000/-;B Rs. 100000/-,36.137,2026-07-01,130.773,April - June 2026,INF194K01Z02,-,INF194K01Z02,2008-05-05,
118479,BANDHAN LARGE CAP FUND,Bandhan AMC Limited,Open Ended,Equity Scheme - Large Cap Fund,BANDHAN Large Cap Fund-Direct Plan-Growth,Rs. 1000/-,89.378,2026-07-01,334.6954,April - June 2026,INF194K01Z44,-,INF194K01Z44,2006-04-19,
118481,Bandhan Value Fund,Bandhan AMC Limited,Open Ended,Equity Scheme - Value Fund,Bandhan Value Fund - Direct Plan - Growth,Rs. 1000/- and any amount thereafter,167.665,2026-07-01,1129.7416,April - June 2026,INF194K01Z85,-,INF194K01Z85,2008-01-09,
118482,BANDHAN Nifty 50 Index Fund,Bandhan AMC Limited,Open Ended,Other Scheme - Index Funds,BANDHAN Nifty 50 Index Fund-Direct Plan-Growth,Rs. 1000/- and any amount thereafter,53.6342,2026-07-01,2237.7971,April - June 2026,INF194K012A8,-,INF194K012A8,2010-04-12,
118485,Bandhan Aggressive Hybrid Passive FOF,Bandhan AMC Limited,Open Ended,Other Scheme - FoF Domestic,Bandhan Aggressive Hybrid Passive FOF - Direct Plan - Growth,Rs.1000/- and any amount thereafter,53.2714,2026-07-01,3.5521,April - June 2026,INF194K012B6,-,INF194K012B6,2010-01-04,
